time,bda_vert_size,bda_vert_size_user_setpoint,tetramm_1_current_1,ring_current
1743273600.424541,1.0133100000000002,1.013,-32.680714518279615,108.84852518491331
1743273602.6999183,1.0142300000000002,1.014,-32.728911399841955,108.79963199790245
1743273605.1901197,1.0152400000000001,1.015,-32.5958954442811,108.91077416271861
1743273607.6142292,1.01631,1.016,-32.72860835538606,108.86157569271315
1743273609.9984956,1.01722,1.017,-32.69009191161694,108.82866488533296
1743273612.4905849,1.01824,1.018,-32.492899364531716,108.79667500200091
1743273614.7670817,1.0192,1.019,-32.498687305052464,108.80493390777127
1743273617.0444415,1.02021,1.02,-32.43325145505186,108.77200017861367
1743273619.4665725,1.0213,1.021,-32.51407075940397,108.73945846267654
1743273621.7402368,1.0222,1.022,-32.571279712275306,108.69092504750087
1743273624.1179984,1.02322,1.023,-32.640439999496316,108.65857255870773
1743273626.5027747,1.0242200000000001,1.024,-32.451821494861,108.71531611152727
1743273628.8910801,1.02522,1.025,-32.55123825307332,108.66702204918748
1743273631.3815134,1.02621,1.026,-32.57382981498218,108.63392350112746
1743273633.6628816,1.02722,1.027,-32.54912617922594,108.58638482253491
1743273635.9488823,1.0282200000000001,1.028,-32.582475074369,108.67360320973268
1743273638.2585056,1.02929,1.029,-32.484351246239044,108.64216804404539
1743273640.749414,1.0302200000000001,1.03,-32.572753813477775,108.59216763593838
1743273643.033071,1.0312100000000002,1.031,-32.658216223739934,108.55989684028242
1743273645.4463985,1.0322900000000002,1.032,-32.64515283244947,108.47382081264332
1743273647.7303014,1.03323,1.033,-32.621756429758484,108.4253490546368
1743273650.0136466,1.03421,1.034,-32.56107483176637,108.39224763173341
1743273652.4278297,1.03528,1.035,-32.44776391732432,108.35997111978281
1743273654.6998107,1.0362500000000001,1.036,-32.15371514399192,108.30970552603462
1743273657.2011418,1.03729,1.037,-30.14696906062289,108.27665287229492
1743273659.6861308,1.03823,1.038,-21.604441446416672,108.22811591220491
1743273662.185107,1.03922,1.039,-8.939211833474184,108.19610023873814
1743273664.5634928,1.0402200000000001,1.04,7.33651505212765,108.10246486432081
1743273667.0598285,1.0412100000000002,1.041,28.108570038445485,108.06977554378854
1743273669.4517078,1.04221,1.042,46.92751304241101,108.03710770686162
1743273671.9410713,1.0432100000000002,1.043,67.29949183715227,107.98950671961607
1743273674.217732,1.04421,1.044,85.17338996073785,107.95680952059183
1743273676.7131152,1.04522,1.045,104.16896944317084,107.9079958943859
1743273679.0381975,1.04631,1.046,122.7145249289433,107.87605407786099
1743273681.3706837,1.0472700000000001,1.047,139.23327618533057,107.84382270346651
1743273683.8660774,1.0482500000000001,1.048,158.79277074362213,107.79576090121871
1743273686.365421,1.04926,1.049,174.20716483154177,107.77051633906578
